idProposicao,siglaTipo,nomeProposicao,ementa,dataApresentacao,casaOrigem,nomeAutor,regimeTramitacao,descricaoSituacao,urlInteiroTeor
2236252,RIC,RIC 9/2020,"Requer ao Ministro de Estado do Ministério da Defesa, Sr. general de Exército Fernando Azevedo e Silva, informações relativas à missão do governo brasileiro à Índia em janeiro de 2020 e informações sobre reuniões com representantes da indústria de defesa. ",2020-01-29T11:11:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853386
2236253,RIC,RIC 10/2020,"Requer ao Ministro de Estado do Ministério da Justiça e da Segurança Pública, Sr. Sérgio Moro, informações relativas à missão do governo brasileiro à Índia em janeiro de 2020 e informações sobre reuniões com representantes da indústria de defesa. ",2020-01-29T11:13:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1854588
2236254,RIC,RIC 11/2020,"Requer ao Ministro de Estado do Ministério das Relações Exteriores, Sr. Ernesto Araújo, informações relativas à missão do governo brasileiro à Índia em janeiro de 2020 e informações sobre reuniões com representantes da indústria de defesa. ",2020-01-29T11:14:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853390
2236259,RIC,RIC 12/2020,"Solicita ao Ministro de Estado da Saúde, Sr. Luiz Henrique Mandetta, informações acerca da atuação do Governo Federal em relação ao coronavirus 2019 n-Co ",2020-01-29T17:01:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853460
2236261,MPV,MPV 919/2020,Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de fevereiro de 2020. ,2020-01-31T10:32:00Z,,Poder Executivo,,Aguardando Recebimento,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853479
2236262,MPV,MPV 920/2020,"Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Regional, no valor de R$ 892.000.000,00, para os fins que especifica. ",2020-01-31T11:13:00Z,,Poder Executivo,,Aguardando Parecer,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853494
2236264,RIC,RIC 13/2020,"Solicita ao Ministro de Estado da Justiça e Segurança Pública, Sr. Sérgio Moro, informações em relação à atuação da Força Nacional nas áreas de conflito envolvendo as comunidades indígenas Guarani-Kaiowá ",2020-01-31T16:45:00Z,CD,Ivan Valente,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853496
2236265,MSC,MSC 23/2020,"Acordo Básico de Cooperação Científica e Técnica entre o Governo da República Federativa do Brasil e o Governo da República da Guatemala, assinado da Cidade da Guatemala, em 25 de julho de 2019. ",2020-01-31T17:46:00Z,,Poder Executivo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1856431
2236266,MSC,MSC 22/2020,"Acordo de Cooperação e Facilitação em Matéria de Investimentos entre a República Federativa do Brasil e o Reino de Marrocos, assinado em Brasília, em 13 de junho de 2019. ",2020-01-31T17:46:00Z,,Poder Executivo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1856432
2236267,MSC,MSC 24/2020,"Submete à apreciação do Congresso Nacional, em aditamento à Mensagem nº 636, de 2019, solicitação de retirada de tramitação da Mensagem nº 94, de 23 de fevereiro de 2018, que encaminhou o texto do Acordo-Quadro sobre o estabelecimento da Aliança Solar Internacional (ASI), assinado em Nova Delhi, República da índia, em 15 de novembro de 2016, convertida no Projeto de Decreto Legislativo nQ 1.157, de 2018. ",2020-01-31T17:52:00Z,,Poder Executivo,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853500
2236269,PL,PL 5/2020,"Dispõe sobre a obrigatoriedade de aceite expresso com assinatura, de correntista, para aumento do limite de Cheque Especial em conta corrente. ",2020-02-03T15:23:00Z,CD,Carla Zambelli,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853648
2236270,PL,PL 6/2020,"Altera a Lei 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para tornar ilegal a progressão continuada em escolas de todo país, abolindo a organização por ciclos. ",2020-02-03T15:24:00Z,CD,Carla Zambelli,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853650
2236271,REQ,REQ 1/2020,"Requer a convocação do Ministro de Estado da Educação, Senhor Abraham Weintraub, para comparecer ao Plenário da Câmara dos Deputados a fim de prestar esclarecimentos acerca das falhas na apuração das notas do Exame Nacional do Ensino Médio (Enem). NA",2020-02-03T15:24:00Z,CD,Danilo Cabral,,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853652
2236272,PL,PL 7/2020,Dispõe sobre a instituição do Dia Nacional do Combate à Fenilcetonúria. ,2020-02-03T15:24:00Z,CD,Carla Zambelli,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853654
