idProposicao,uri,dataApresentacao,siglaTipo,codTipo,numero,ano,nomeProposicao,indTramitando
141118,http://legis.senado.gov.br/dadosabertos/materia/141118,2020-03-20,PL,,00751,2020,PL 751/2020,Sim
141119,http://legis.senado.gov.br/dadosabertos/materia/141119,2020-03-20,PL,,00766,2020,PL 766/2020,Sim
141120,http://legis.senado.gov.br/dadosabertos/materia/141120,2020-03-20,PL,,00767,2020,PL 767/2020,Sim
141121,http://legis.senado.gov.br/dadosabertos/materia/141121,2020-03-20,PL,,00768,2020,PL 768/2020,Sim
141122,http://legis.senado.gov.br/dadosabertos/materia/141122,2020-03-20,PL,,00769,2020,PL 769/2020,Sim
141123,http://legis.senado.gov.br/dadosabertos/materia/141123,2020-03-20,PL,,00770,2020,PL 770/2020,Sim
141124,http://legis.senado.gov.br/dadosabertos/materia/141124,2020-03-20,PL,,00771,2020,PL 771/2020,Sim
141125,http://legis.senado.gov.br/dadosabertos/materia/141125,2020-03-20,PL,,00772,2020,PL 772/2020,Sim
141126,http://legis.senado.gov.br/dadosabertos/materia/141126,2020-03-20,PL,,00773,2020,PL 773/2020,Sim
141127,http://legis.senado.gov.br/dadosabertos/materia/141127,2020-03-20,PL,,00774,2020,PL 774/2020,Não
141128,http://legis.senado.gov.br/dadosabertos/materia/141128,2020-03-20,PL,,00775,2020,PL 775/2020,Sim
141129,http://legis.senado.gov.br/dadosabertos/materia/141129,2020-03-20,PL,,00776,2020,PL 776/2020,Sim
141130,http://legis.senado.gov.br/dadosabertos/materia/141130,2020-03-20,PL,,00777,2020,PL 777/2020,Sim
141132,http://legis.senado.gov.br/dadosabertos/materia/141132,2020-03-20,PL,,00780,2020,PL 780/2020,Sim
141133,http://legis.senado.gov.br/dadosabertos/materia/141133,2020-03-20,PL,,00781,2020,PL 781/2020,Sim
141134,http://legis.senado.gov.br/dadosabertos/materia/141134,2020-03-20,PL,,00782,2020,PL 782/2020,Sim
